product_id,seller_id,product_name,product_category,product_description,stock_quantity,price,sales_revenue,quantity_sold,trend_score,days_in_inventory,reorder_threshold,competitor_price,profit_margin,customer_purchase_frequency
45fb2825-dbad-474a-a9c1-0dc7201a600c,38,Nike Air Force 1,Winter Clothing,Classic and versatile sneakers offering both style and comfort for everyday wear Children's Day.,118,856.08,5672.61,93,0.8,206,84,395.7,119.45,10
0326368b-b048-4d7e-9a6d-efae8a6b2040,17,KitchenAid Stand Mixer,Home Appliances,"Powerful and durable stand mixer, perfect for baking and culinary creations.",145,1516.66,4182.41,2,0.7,81,65,1479.4,207.78,9
f7eee6b0-8198-43ad-92e1-a7f5ef68ff00,5,KitchenAid Stand Mixer,Home Appliances,"Powerful and durable stand mixer, perfect for baking and culinary creations.",238,986.04,5497.92,19,0.7,228,95,1993.15,341.78,5
12ca8ecd-49d4-474d-9e19-324716a5b2ef,25,iPhone 14 Pro,Electronics,"Apple's flagship smartphone with advanced features, including a powerful A15 Bionic chip, ProMotion display, and improved camera system.",341,1782.89,2570.54,41,0.85,302,40,1109.19,439.89,13
e812c5bf-3259-4a5c-95f0-d3669b4c3d46,35,LG OLED CX TV,Electronics,A high-end OLED TV with stunning picture quality and advanced gaming features.,196,1585.8,4249.24,54,0.82,100,42,314.5,63.2,13
a1921718-a250-4c67-bf94-e44031797d5a,35,Sony WH-1000XM5,Electronics,Premium noise-canceling headphones with exceptional audio quality and long battery life.,323,1518.25,2366.75,3,0.78,112,87,720.17,171.12,4
2e2dae41-d8ba-412c-a88f-f98b15cc1a4a,46,Sony WH-1000XM5,Electronics,Premium noise-canceling headphones with exceptional audio quality and long battery life.,320,577.89,7795.4,76,0.78,313,91,2043.47,361.34,11
56e1d1c8-6963-4c10-8a47-7ee72d0cd8fd,27,iPhone 14 Pro,Electronics,"Apple's flagship smartphone with advanced features, including a powerful A15 Bionic chip, ProMotion display, and improved camera system.",148,1278.67,9739.99,18,0.85,213,99,1490.91,197.99,15
1d60e30e-9c31-4f3e-9d88-8d2d347fc0e9,45,KitchenAid Stand Mixer,Home Appliances,"Powerful and durable stand mixer, perfect for baking and culinary creations.",110,1498.43,5865.14,63,0.7,359,91,965.07,358.34,5
e3d09294-22d0-4ea4-80e0-8e3113dba0cd,7,LG OLED CX TV,Electronics,A high-end OLED TV with stunning picture quality and advanced gaming features.,149,843.71,3881.19,97,0.82,51,71,474.07,110.88,5
5a2b52c2-a07e-40ec-a086-4559fc51e58b,19,Dyson V11 Vacuum,Home Appliances,"A high-performance winter cordless vacuum cleaner with powerful suction and advanced filtration, ideal for deep cleaning your home.",477,925.85,6814.31,16,0.75,116,91,719.86,148.36,20
ff6bd446-0d3c-4933-9072-a32acaa6e218,44,Samsung Galaxy S23,Electronics,Samsung's latest smartphone with cutting-edge features like a high-refresh-rate display and top-notch camera technology.,116,867.85,8971.89,26,0.8,313,64,217.93,75.88,20
93a53627-f956-455a-ab4f-d814a346a504,3,Nike Air Force 1,Clothing,Classic and versatile sneakers offering both style and comfort for everyday wear.,335,95.24,5738.15,71,0.8,95,25,1666.22,569.4,8
6452dc24-c97f-4176-96e0-7fcb8c81feb5,39,Adidas Ultraboost,Clothing,Comfortable and high-performance running shoes with responsive cushioning fo winter.,404,1679.52,7865.92,71,0.76,272,89,2133.81,286.88,5
d4622d9c-e909-4da7-bcbe-53f04b0d51f9,22,Adidas Ultraboost,Clothing,Comfortable and high-performance running shoes with responsive cushioning.,137,598.5,4233.03,65,0.76,8,11,2010.46,341.45,1
e0e9ee5f-3d3a-47d9-970c-4419bd6a7fcb,32,LG OLED CX TV,Electronics,A high-end OLED TV with stunning picture quality and advanced gaming features.,310,1346.35,8489.52,14,0.82,113,76,428.56,78.95,6
be5242ad-b7d6-4fb7-8144-4fdca64b7ece,16,KitchenAid Stand Mixer,Home Appliances,"Powerful and durable stand mixer, perfect for baking and culinary creations.",21,1745.43,9176.69,43,0.7,285,86,955.22,370.95,4
fa1ecc43-2b88-422e-a6a7-7d6aaf3c8aa4,18,KitchenAid Stand Mixer,Home Appliances,"Powerful and durable stand mixer, perfect for baking and culinary creations.",223,1556.65,5792.51,14,0.7,255,16,822.49,144.92,2
a1979906-00e1-4c4e-a2a3-6ae9275b5aff,50,KitchenAid Stand Mixer,Home Appliances,"Powerful and durable stand mixer, perfect for baking and culinary creations.",238,1748.79,8652.58,49,0.7,182,66,227.67,44.45,9
f93029ef-0544-4832-8a78-58f357d4fb47,19,iPhone 14 Pro,Electronics,"Apple's flagship smartphone with advanced features, including a powerful A15 Bionic chip, ProMotion display, and improved camera system.",265,1797.54,8313.81,91,0.85,133,28,1279.47,393.97,10
b70cad16-ca99-4162-bb89-5c96de045c0b,47,iPhone 14 Pro,Electronics,"Apple's flagship smartphone with advanced features, including a powerful A15 Bionic chip, ProMotion display, and improved camera system.",198,876.1,9101.83,56,0.85,22,34,808.58,278.08,19
e76dca03-0975-460f-b839-56fc2567db43,31,Dyson V11 Vacuum,Home Appliances,"A high-performance cordless vacuum cleaner with powerful suction and advanced filtration, ideal for deep cleaning your home.",203,773.42,8198.5,47,0.75,29,44,2126.37,469.8,13
359c65e9-b5f6-48ec-a3ab-1c22264f5549,41,Instant Pot Duo,Home Appliances,Multi-functional pressure cooker with a variety of cooking modes for easy meal preparation.,362,920.07,1198.03,46,0.7,88,47,83.27,21.32,8
df71327d-f134-44f3-bb09-8a118e5a1421,11,Samsung Galaxy S23,Electronics,Samsung's latest smartphone with cutting-edge features like a high-refresh-rate display and top-notch camera technology.,63,1425.41,6752.52,59,0.8,7,97,1358.04,404.18,8
2b72c78e-fd59-40f7-8cd0-254d65b24777,21,KitchenAid Stand Mixer,Home Appliances,"Powerful and durable stand mixer, perfect for baking and culinary creations.",492,1453.47,9472.84,98,0.7,172,96,406.42,121.1,13
c7ecfddd-1cdc-4ef3-a17f-d9a22da72300,31,Levi's 501 Jeans,Clothing,"Iconic straight-fit jeans featuring durable denim fabric and a classic button fly, offering timeless style and comfort.",56,394.43,2889.01,75,0.65,180,46,1326,228.57,14
513754bc-c802-49e6-9b03-7f308d7863fd,35,Samsung Galaxy S23,Electronics,Samsung's latest smartphone with cutting-edge features like a high-refresh-rate display and top-notch camera technology.,372,1362.32,5485.53,2,0.8,174,13,755.75,90.65,9
b72c0335-dc8c-462a-961f-95a69af54430,36,Levi's 501 Jeans,Clothing,"Iconic straight-fit  jeans featuring durable denim fabric and a classic button fly, offering timeless style and comfort.",56,932.88,8833.55,17,0.65,329,56,414.22,127.18,14
42fa738f-9430-4d5e-a77c-8fa664e294b2,44,Formal Shirt,Women’s clothing,Formal shirt for womens fashion.,492,1197.62,4871.04,2,0.85,31,79,1983.09,698.25,9
bcc12cbb-74bb-48bf-95bc-e4e9eab9b16a,27,iPhone 14 Pro,Electronics,"Apple's flagship smartphone with advanced features, including a powerful A15 Bionic chip, ProMotion display, and improved camera system.",35,1637.73,7122.41,72,0.85,317,61,576.34,216.45,8
03c406d1-e55e-4f99-930b-fee262f1f94a,29,Samsung Galaxy S23,Electronics,Samsung's latest smartphone with cutting-edge features like a high-refresh-rate display and top-notch camera technology.,372,1732.25,8929.62,22,0.8,199,71,788.3,141.34,6
5a244fe7-42e0-41b7-a617-23c6581e0ad5,20,Samsung Galaxy S23,Electronics,Samsung's latest smartphone with cutting-edge features like a high-refresh-rate display and top-notch camera technology.,198,817.64,2603.03,24,0.8,204,88,584.69,225.58,7
8260a19d-7331-4b6c-946a-ad82812c8767,18,Instant Pot Duo,Home Appliances,Multi-functional pressure cooker with a variety of cooking modes for easy meal preparation.,41,39.09,2576.67,5,0.7,142,39,1659.75,461.17,9
ad0c23a4-7ee4-4a4d-a46e-7571378f8b9f,3,Adidas Ultraboost,Clothing,Comfortable and high-performance running shoes with responsive cushioning.,106,299.96,1719.91,6,0.76,205,13,1283.61,303.89,10
45536bfd-ac46-4ea4-8c9c-10567e9f442e,8,KitchenAid Stand Mixer,Home Appliances,"Powerful and durable stand mixer, perfect for baking and culinary creations.",475,1377.25,3377.88,33,0.7,103,24,1511.89,668.52,14
01f3d6b7-45f5-4811-8a35-e001d9a2af77,39,Adidas Ultraboost,Clothing,Comfortable and high-performance running shoes with responsive cushioning.,205,1928.22,9972.01,19,0.76,348,30,1546.46,451.26,19
9bfccec2-e0b3-44fb-b132-fbc79e3b03b4,4,Sony WH-1000XM5,Electronics,Premium noise-canceling headphones with exceptional audio quality and long battery life.,96,797.83,2246.64,89,0.78,290,29,1933.22,234.81,19
f960a91f-2b02-4c64-8041-d5c9c213535f,15,iPhone 14 Pro,Electronics,"Apple's flagship smartphone with advanced features, including a powerful A15 Bionic chip, ProMotion display, and improved camera system.",318,1990.2,5899.7,72,0.85,58,67,826.73,228.87,7
213ee3ed-5b4b-4df7-978b-e74c462670ef,24,Sony WH-1000XM5,Electronics,Premium noise-canceling headphones with exceptional audio quality and long battery life.,448,1460.09,1790.84,39,0.78,261,87,94.83,27.72,11
1838efb6-d327-402f-ac81-946f00a45ce7,16,Adidas Ultraboost,Clothing,Comfortable and high-performance running shoes with responsive cushioning.,155,841.55,1770.95,49,0.76,341,99,1667.16,167.65,2
65ab804e-840d-49fb-8082-1626bc90d3e3,43,iPhone 14 Pro,Electronics,"Apple's flagship smartphone with advanced features, including a powerful A15 Bionic chip, ProMotion display, and improved camera system.",129,1095.86,9486.13,16,0.85,337,93,498.86,165.51,20
dc0e427d-748b-4395-9e76-55d50f465c28,31,KitchenAid Stand Mixer,Home Appliances,"Powerful and durable stand mixer, perfect for baking and culinary creations.",190,257.69,1469.97,87,0.7,160,15,1564.41,483.77,8
a423b093-d139-4ea1-bb12-9e0116bd9a72,6,Dyson V11 Vacuum,Home Appliances,"A high-performance cordless vacuum cleaner with powerful suction and advanced filtration, ideal for deep cleaning your home.",411,958.01,1935.77,9,0.75,23,50,360.93,69.38,2
8bf526ad-5c05-4040-96d6-82662dcd4059,30,LG OLED CX TV,Electronics,A high-end OLED TV with stunning picture quality and advanced gaming features.,14,943.25,6853.2,62,0.82,105,69,521.69,71.93,15
8714be3a-41d8-4d6e-ad5c-b3f8052a479a,11,Instant Pot Duo,Home Appliances,Multi-functional pressure cooker with a variety of cooking modes for easy meal preparation.,445,310.2,6956.16,58,0.7,52,92,1606.01,226.16,1
7103ac3b-432e-4d78-86d7-50f3b9496902,32,Nike Air Force 1,Clothing,Classic and versatile sneakers offering both style and comfort for everyday wear.,287,197.73,7678.9,4,0.8,115,48,1392.98,424.2,7
efef1218-922b-46e6-adc4-9a6316e4b840,37,Nike Air Force 1,Clothing,Classic and versatile sneakers offering both style and comfort for everyday wear.,134,1535.03,3520.53,100,0.8,299,83,881.64,265.25,17
3da61616-4a40-4042-b3fa-2a9ae82287be,23,Samsung Galaxy S23,Electronics,Samsung's latest smartphone with cutting-edge features like a high-refresh-rate display and top-notch camera technology.,238,1979.96,6283.82,17,0.8,294,56,1176.55,495.62,20
8472445f-3a44-4366-b7db-38a4e488b534,41,Sony WH-1000XM5,Electronics,Premium noise-canceling headphones with exceptional audio quality and long battery life.,47,338.49,2046.57,84,0.78,59,50,1569.9,509.6,20
c06db33c-53e5-4815-a44f-a0c95a11a7c1,14,Nike Air Force 1,Clothing,Classic and versatile sneakers offering both style and comfort for everyday wear.,134,1867.05,7461.35,49,0.8,120,54,1297.36,356.26,15
1b9c50df-ef54-4052-8184-3043b604f497,36,Adidas Ultraboost,Clothing,Comfortable and high-performance running shoes with responsive cushioning.,20,407.36,7677.12,48,0.76,157,88,1162.17,236.7,5
8923ea02-3e4e-48d3-a561-aaac7952c543,24,Levi's 501 Jeans,Clothing,"Iconic straight-fit jeans featuring durable denim fabric and a classic button fly, offering timeless style and comfort.",203,1764.74,5553.31,93,0.65,123,77,1227.68,291.91,5
8ef0e62b-1b07-4f5f-9eb9-ac63c37dbb6a,26,KitchenAid Stand Mixer,Home Appliances,"Powerful and durable stand mixer, perfect for baking and culinary creations.",347,1758.83,7585.98,59,0.7,40,74,982.86,131.81,11
6634bc68-607f-49b5-b7a0-81a76b8144c4,26,Levi's 501 Jeans,Clothing,"Iconic straight-fit jeans featuring durable denim fabric and a classic button fly, offering timeless style and comfort.",58,1931.68,7325.04,46,0.65,172,96,754.07,235.28,2
17b6de23-fb09-4673-8d80-4fa31384f84a,11,LG OLED CX TV,Electronics,A high-end OLED TV with stunning picture quality and advanced gaming features.,368,1876.62,3344.83,62,0.82,286,62,242.22,57.42,12
e7b0e1b2-6d12-47b8-a55d-d0fc762f8425,18,LG OLED CX TV,Electronics,A high-end OLED TV with stunning picture quality and advanced gaming features.,427,174.46,8066.7,91,0.82,334,36,2015.76,490.66,15
c86c5a2f-95ff-4c1d-a492-1d631d3e30ce,45,LG OLED CX TV,Electronics,A high-end OLED TV with stunning picture quality and advanced gaming features.,249,1973.2,7934.76,91,0.82,243,24,904.36,284.78,14
52d98d82-e79b-4de2-89ef-2193b83d7e9c,26,Sony WH-1000XM5,Electronics,Premium noise-canceling headphones with exceptional audio quality and long battery life.,154,1307.41,8517.85,32,0.78,276,16,1402.82,507.27,8
3284ead7-5dcb-4cc6-a8b7-3459d59e0752,18,LG OLED CX TV,Electronics,A high-end OLED TV with stunning picture quality and advanced gaming features.,318,1984.45,8832.66,66,0.82,21,52,561.01,229.89,17
a8cec85a-8db2-4f13-8994-4d62446da545,23,KitchenAid Stand Mixer,Home Appliances,"Powerful and durable stand mixer, perfect for baking and culinary creations.",60,1274.29,5359.65,16,0.7,162,67,252.15,62.07,2
f9acc551-9862-4ba2-9fac-821b94b687c4,35,KitchenAid Stand Mixer,Home Appliances,"Powerful and durable stand mixer, perfect for baking and culinary creations.",417,241.33,8701.81,20,0.7,184,23,1870.76,383.25,20
76c28689-9fb6-4d3f-8ada-25b519aba344,4,Sony WH-1000XM5,Electronics,Premium noise-canceling headphones with exceptional audio quality and long battery life.,301,1305.85,7005.58,41,0.78,152,74,800.29,103.65,10
5eca4b3a-d0c3-4799-8eab-f0299b35c279,48,LG OLED CX TV,Electronics,A high-end OLED TV with stunning picture quality and advanced gaming features.,165,1739.73,3632.73,60,0.82,211,97,1606.36,150.89,4
d11deeac-54fa-4bde-a82a-d1893b66f30c,11,KitchenAid Stand Mixer,Home Appliances,"Powerful and durable stand mixer, perfect for baking and culinary creations.",149,1915.55,5331.04,77,0.7,51,47,1492,553.91,5
eedf423a-9b0f-4548-a0ee-88888e9b6f77,10,Samsung Galaxy S23,Electronics,Samsung's latest smartphone with cutting-edge features like a high-refresh-rate display and top-notch camera technology.,286,544.13,9349.64,12,0.8,350,52,892.32,294.21,5
8ff90207-60c9-4f3d-9910-ddccfdb13ef8,13,Levi's 501 Jeans,Clothing,"Iconic straight-fit jeans featuring durable denim fabric and a classic button fly, offering timeless style and comfort.",439,204.09,4079.8,7,0.65,204,75,254.32,61.68,17
4be54cb0-6e57-45a5-a0ae-e9f44a84d743,26,Samsung Galaxy S23,Electronics,Samsung's latest smartphone with cutting-edge features like a high-refresh-rate display and top-notch camera technology.,14,394.02,4683.92,26,0.8,114,24,494.65,149.94,14
a3669f07-89ba-43bc-b056-898d12d248d8,1,Nike Air Force 1,Clothing,Classic and versatile sneakers offering both style and comfort for everyday wear.,103,1127.38,7012.63,10,0.8,7,95,788,179.07,2
464158aa-d3d0-4d58-bbf4-54b43c9d8122,36,Dyson V11 Vacuum,Home Appliances,"A high-performance cordless vacuum cleaner with powerful suction and advanced filtration, ideal for deep cleaning your home.",337,697.37,6426.86,1,0.75,271,37,436.28,59.28,20
473fced1-c78b-4a43-a83a-c93e7e300494,49,Adidas Ultraboost,Clothing,Comfortable and high-performance running shoes with responsive cushioning.,32,454.4,6503.25,53,0.76,235,52,1190.64,313.72,15
7ebf032e-8481-4e02-a758-88479d52a953,13,Nike Air Force 1,Clothing,Classic and versatile sneakers offering both style and comfort for everyday wear.,355,573.07,6057.9,95,0.8,200,51,1922.41,586.46,17
8cd09461-3bf4-4cce-a554-d68ffda38690,18,Samsung Galaxy S23,Electronics,Samsung's latest smartphone with cutting-edge features like a high-refresh-rate display and top-notch camera technology.,144,617.85,1798.15,34,0.8,232,28,1515.5,166.77,13
84211bae-0ebb-45ed-8baa-3fa6b7223453,46,Sony WH-1000XM5,Electronics,Premium noise-canceling headphones with exceptional audio quality and long battery life.,305,1636.52,7863.41,7,0.78,25,38,1330.69,211.19,11
d532feb0-ddd9-49c3-9f33-ef5a60466a1e,39,KitchenAid Stand Mixer,Home Appliances,"Powerful and durable stand mixer, perfect for baking and culinary creations.",410,650.37,6668.62,22,0.7,39,58,984.51,333.63,15
aa9d68b3-8c1f-4106-a25e-29c039663d2c,17,Instant Pot Duo,Home Appliances,Multi-functional pressure cooker with a variety of cooking modes for easy meal preparation.,68,107.23,1600.99,24,0.7,64,22,1107.68,270.37,6
844005ee-37f0-49b6-a1e6-7f3cc7d0b85a,48,Samsung Galaxy S23,Electronics,Samsung's latest smartphone with cutting-edge features like a high-refresh-rate display and top-notch camera technology.,59,1254.45,1088.75,50,0.8,74,71,1233.6,448.52,11
442e014b-8e0f-4b04-8449-2a23932ac999,37,Instant Pot Duo,Home Appliances,Multi-functional pressure cooker with a variety of cooking modes for easy meal preparation.,366,1531.38,2576.21,47,0.7,225,49,545.96,96.16,13
8a8998c4-23e1-472f-912c-55e75d584a4d,21,Instant Pot Duo,Home Appliances,Multi-functional pressure cooker with a variety of cooking modes for easy meal preparation.,98,874.48,7146.9,72,0.7,10,11,323.64,62.96,3
6070abe6-c813-4c35-b3c4-9e4a06ce79e5,32,Instant Pot Duo,Home Appliances,Multi-functional pressure cooker with a variety of cooking modes for easy meal preparation.,417,864.01,2068.23,19,0.7,26,32,382.65,77.35,20
0dc75f15-01a0-4c0d-9092-4e25c80e38a7,26,Levi's 501 Jeans,Clothing,"Iconic straight-fit jeans featuring durable denim fabric and a classic button fly, offering timeless style and comfort.",328,1658.58,9564.79,35,0.65,58,35,1857.67,578.06,5
57feb20d-97d5-4be8-9e08-e12aac7d8686,42,iPhone 14 Pro,Electronics,"Apple's flagship smartphone with advanced features, including a powerful A15 Bionic chip, ProMotion display, and improved camera system.",174,152.75,8444.9,76,0.85,165,28,943.78,248.49,4
f6b27b8e-2a49-4078-9f7c-c4cfd66d01f3,32,iPhone 14 Pro,Electronics,"Apple's flagship smartphone with advanced features, including a powerful A15 Bionic chip, ProMotion display, and improved camera system.",64,254.97,9797.52,33,0.85,46,10,302.45,121.77,19
3beaa820-144d-473f-a730-0d32ccff990f,43,iPhone 14 Pro,Electronics,"Apple's flagship smartphone with advanced features, including a powerful A15 Bionic chip, ProMotion display, and improved camera system.",480,250.17,3408.44,5,0.85,152,60,1209.61,414.61,18
c833c09c-4ee4-40c2-ab7c-1de1901d87fb,35,iPhone 14 Pro,Electronics,"Apple's flagship smartphone with advanced features, including a powerful A15 Bionic chip, ProMotion display, and improved camera system.",397,1309.97,8242.61,24,0.85,100,40,273.07,90.5,1
e93317c1-8f21-4aca-adc9-0c3faab88c43,21,LG OLED CX TV,Electronics,A high-end OLED TV with stunning picture quality and advanced gaming features.,199,1893.03,9129.34,48,0.82,257,33,860.24,303.95,15
a5e893cb-75ff-4fca-b0eb-e83252c185ed,17,LG OLED CX TV,Electronics,A high-end OLED TV with stunning picture quality and advanced gaming features.,457,1161.05,4381.92,52,0.82,272,18,1475.38,383.93,10
210dea4f-2821-4af4-a13e-42e477b46d3a,9,Nike Air Force 1,Clothing,Classic and versatile sneakers offering both style and comfort for everyday wear.,70,406.83,5300.69,30,0.8,299,27,1399.12,452.57,14
b29ce1ad-11d0-4f67-8ae6-0473cbb00620,3,Dyson V11 Vacuum,Home Appliances,"A high-performance cordless vacuum cleaner with powerful suction and advanced filtration, ideal for deep cleaning your home.",406,664.09,5041.22,63,0.75,138,73,1861.55,427.01,19
a72fdd98-9fc2-4b61-9aea-6c7a981df986,17,LG OLED CX TV,Electronics,A high-end OLED TV with stunning picture quality and advanced gaming features.,440,436.76,8987.97,40,0.82,150,20,933.01,216.91,5
121a0822-444e-4f95-8f93-a4c41247d12b,4,iPhone 14 Pro,Electronics,"Apple's flagship smartphone with advanced features, including a powerful A15 Bionic chip, ProMotion display, and improved camera system.",64,1236.23,5856.32,84,0.85,170,39,332.05,39.96,12
31e7292b-c703-4b93-8b95-35db157289a6,21,LG OLED CX TV,Electronics,A high-end OLED TV with stunning picture quality and advanced gaming features.,12,1095.21,5081.74,36,0.82,267,65,692.17,111.98,18
5161b77f-5274-464b-aad8-998d05d6544b,30,KitchenAid Stand Mixer,Home Appliances,"Powerful and durable stand mixer, perfect for baking and culinary creations.",217,1793.77,4800.05,55,0.7,140,68,99.53,10.46,16
af2ecd33-6053-4727-8b32-5c923aa31077,50,Adidas Ultraboost,Clothing,Comfortable and high-performance running shoes with responsive cushioning.,30,709.14,3795.88,24,0.76,95,16,160.83,34.75,20
e6389634-3a80-457b-9f50-0827bffec509,8,iPhone 14 Pro,Electronics,"Apple's flagship smartphone with advanced features, including a powerful A15 Bionic chip, ProMotion display, and improved camera system.",11,219.45,1739.91,63,0.85,51,74,1054.66,378.43,20
13fbe85c-0331-474d-9a80-1700a90ce482,31,Adidas Ultraboost,Clothing,Comfortable and high-performance running shoes with responsive cushioning.,469,1272.39,3448.32,36,0.76,295,45,1977.33,254.75,3
69a877f4-fa7b-4538-8860-aac3297bacce,21,Adidas Ultraboost,Clothing,Comfortable and high-performance running shoes with responsive cushioning.,338,1454.92,8054.44,93,0.76,97,29,1380.68,489.91,15
cc83455f-28d7-4751-94ae-c02a73306a7b,18,LG OLED CX TV,Electronics,A high-end OLED TV with stunning picture quality and advanced gaming features.,242,708.53,9227.94,54,0.82,81,61,755.6,251.56,2
5b771242-1e7c-47b5-bf08-88fba92bbcd0,43,Sony WH-1000XM5,Electronics,Premium noise-canceling headphones with exceptional audio quality and long battery life.,412,523.55,8223.97,27,0.78,112,32,600.02,77.02,19
3890a504-7386-4fb6-a931-d485bb834903,41,Samsung Galaxy S23,Electronics,Samsung's latest smartphone with cutting-edge features like a high-refresh-rate display and top-notch camera technology.,28,854.78,2082.4,9,0.8,89,18,176.72,53.18,10
7a18ed13-6e99-4b00-a55a-305b8f1b700e,47,Sony WH-1000XM5,Electronics,Premium noise-canceling headphones with exceptional audio quality and long battery life.,495,902.87,2678.18,70,0.78,96,13,580.2,244,15
b79863ac-6cef-4eef-bd94-1c04c0fbf113,32,Levi's 501 Jeans,Clothing,"Iconic straight-fit jeans featuring durable denim fabric and a classic button fly, offering timeless style and comfort.",427,265.45,1290.21,48,0.65,42,91,1061.86,380.46,8
d2cd9992-b6c5-41b9-8b05-ab49c79e3891,12,Dyson V11 Vacuum,Home Appliances,"A high-performance cordless vacuum cleaner with powerful suction and advanced filtration, ideal for deep cleaning your home.",372,697.15,1796.3,100,0.75,45,97,1910.55,194.05,17
deb0a9c6-5652-4198-bf75-e441143f6898,29,Levi's 501 Jeans,Clothing,"Iconic straight-fit jeans featuring durable denim fabric and a classic button fly, offering timeless style and comfort.",10,561.17,4449.02,95,0.65,286,79,1349.07,300.6,13
b187ecbc-6b31-40d3-b819-43ca092b5d06,22,Samsung Galaxy S23,Electronics,Samsung's latest smartphone with cutting-edge features like a high-refresh-rate display and top-notch camera technology.,110,701.38,2157.72,37,0.8,272,98,2067.44,475.63,12
4481da87-da8d-467b-9264-b9ca0dfc5dbd,17,iPhone 14 Pro,Electronics,"Apple's flagship smartphone with advanced features, including a powerful A15 Bionic chip, ProMotion display, and improved camera system.",207,599.5,1401.22,20,0.85,331,81,443.9,41.41,3
043e956e-7676-4252-b183-bdeacf4e6266,1,Sony WH-1000XM5,Electronics,Premium noise-canceling headphones with exceptional audio quality and long battery life.,16,738.66,2518.59,6,0.78,330,28,541.08,214.96,9
aa2be8ac-b86d-4f9e-859e-1395572d2c48,15,Levi's 501 Jeans,Clothing,"Iconic straight-fit jeans featuring durable denim fabric and a classic button fly, offering timeless style and comfort.",248,1125.93,5089.62,59,0.65,266,35,699.68,75.62,16
3aafb27f-dec4-48c6-b189-5a709a6b822a,27,Sony WH-1000XM5,Electronics,Premium noise-canceling headphones with exceptional audio quality and long battery life.,87,39.66,1649.33,49,0.78,321,11,944.6,212.03,12
675de1bf-988c-46a4-a5a5-f8e6b59fbc09,37,Dyson V11 Vacuum,Home Appliances,"A high-performance cordless vacuum cleaner with powerful suction and advanced filtration, ideal for deep cleaning your home.",207,543.94,7623.28,4,0.75,275,40,121.83,11.99,13
4273eca7-e667-46bb-aab2-4b2b4e5bec27,8,iPhone 14 Pro,Electronics,"Apple's flagship smartphone with advanced features, including a powerful A15 Bionic chip, ProMotion display, and improved camera system.",425,956.04,7105.7,20,0.85,102,65,1835.69,652.86,15
78d046eb-9089-403f-b9d6-87c34091e8f7,1,Sony WH-1000XM5,Electronics,Premium noise-canceling headphones with exceptional audio quality and long battery life.,166,1384.04,4419.31,34,0.78,271,25,73.41,12.92,9
